function      function
ID      f
(     (
)     )
{     {
int      int
;     ;
int      int
ID      b
;     ;
int      int
;     ;
read      read
ID      a
;     ;
ID      b
=     =
NUM     5
;     ;
while      while
(     (
ID      a
>=     >=
NUM     3
)     )
{     {
ID      b
=     =
ID      b
*     *
NUM     5
;     ;
ID      a
=     =
ID      a
-     -
NUM     1
;     ;
write      write
ID      b
;     ;
}     }
for      for
(     (
ID      i
=     =
NUM     1
;     ;
ID      i
<=     <=
NUM     3
;     ;
ID      i
=     =
ID      i
+     +
NUM     1
)     )
{     {
ID      a
=     =
ID      a
/     /
NUM     2
;     ;
}     }
if      if
(     (
ID      a
>     >
ID      b
)     )
{     {
write      write
ID      b
;     ;
}     }
write      write
ID      a
;     ;
}     }
int      int
ID      main
(     (
)     )
{     {
int      int
ID      c
;     ;
call      call
ID      f
(     (
)     )
;     ;
}     }
