function      function
ID      f
(     (
)     )
{     {
int      int
ID      a
;     ;
int      int
ID      b
;     ;
read      read
ID      a
;     ;
ID      b
=     =
NUM     5
;     ;
while      while
(     (
ID      a
>=     >=
NUM     3
)     )
{     {
ID      b
=     =
ID      b
*     *
NUM     5
;     ;
ID      a
=     =
ID      a
-     -
NUM     1
;     ;
write      write
ID      b
;     ;
}     }
write      write
ID      a
;     ;
}     }
int      int
ID      main
(     (
)     )
{     {
call      call
ID      f
(     (
)     )
;     ;
}     }
